user_name,user_url,comment
cyan9826,http://p2.music.126.net/9jGam-WR8tXt-MJPYyUwOw==/109951163241173908.jpg,画面太美我不敢看的出处[奸笑]
续场梦,http://p3.music.126.net/qM3VXNoWz_LqYW3JJgQkVw==/109951169062783864.jpg,你是电影后的落幕 是枯树下的情话 是黎明后的白昼 是落日前的晚霞 是我逃不出的黑暗 也是我抹不掉的记忆
翻起番茄汁,http://p4.music.126.net/YQIqhJEu5fE9Be3nevycOQ==/6016527627615412.jpg,你们和初恋唱过有啥，我看着我的初恋跟别人唱过……！
包几先森,http://p3.music.126.net/-3dabmAhs6JyBVpIUaRmZg==/109951163065739628.jpg,那时的周杰伦 在大家都爱唱苦情慢歌的年代 现在想想都觉得屌爆了
幻音12138,http://p3.music.126.net/VlBeT6LJQjqvFQo_9j40Dw==/6661940954414609.jpg,别以为我不知道你用云盘听的[大哭]
Imagine-九哥,http://p3.music.126.net/F2S15scky2qupF2Ogm22GQ==/109951163763048499.jpg,还记得高中地理老师怎么说的吗？为什么每年春晚都在晚8点开始？因为只有20：00全世界的中国人才能在同一天过年，于是，春晚有了份特殊的温暖。
MinaOldman,http://p3.music.126.net/yNIqyt04HE53Q6Px21c1ow==/109951168703190475.jpg,居然推了这首给我。。记得当时第一次听又配合着抗击非典的大氛围觉得简直是听过的最好的华语大合唱。现在听感动反而有增无减，感慨那时候的华语乐坛真的是人才济济欣欣向荣啊。当时王力宏蔡依林周杰伦SHE等等都正当打，太和谐。现在你看看中国乐坛都被韩流和三俗网络歌曲侵蚀成什么样了。还是那时好。
路小雨啊,http://p2.music.126.net/hxxrJ5tQpCHnqLf7_zwaxQ==/3397490931981801.jpg,我现在才恍然大悟，Jolin是骑士，杰伦才是那个骄傲的公主。
初鹿野城,http://p4.music.126.net/aa55uFDcU3TimruePAIFpA==/109951165956355719.jpg,你说想哭就弹琴，想起你就写信.
想吃小鱼干i,http://p3.music.126.net/ZJnsplgWFyJfuRtZJMsmJQ==/109951166473984624.jpg,等版权都回来了 哥们先磕头为敬
至白,http://p4.music.126.net/Ie9kNR_EwK0VwAGfHjvgTw==/109951166701285755.jpg,网易百万杰迷无家可归[怒][怒][怒][怒][怒]
地球是源的,http://p4.music.126.net/EgEYxmLwFCQOx3H4jHN5RA==/2544269910731920.jpg,就这歌的前奏 放今天还是没有对手
allgoneykyyyy,http://p3.music.126.net/xAH5cVkI8YcGrNFX-sEIuQ==/109951165377123225.jpg,周杰伦一直给蔡依林写这种歌多好，我才不在乎他们在不在一起。
星系与尘埃,http://p4.music.126.net/MnWZsJtCN45xB8k9YvwTWA==/109951165777150010.jpg,这个版权蔡依林的，要不然也没了[流泪][流泪]
-5號選手,http://p3.music.126.net/zQxcGAsdhrEtPb9Z1t-CvA==/109951168212799219.jpg,网易能不能把杰伦的版权买过来啊
猎户座OriArr,http://p3.music.126.net/9o8amyyDuIQQk1Wx4bzbyQ==/109951165268318185.jpg,作为一个周董歌迷，不得不承认，宋祖英唱民歌确实一流
初鹿野城,http://p3.music.126.net/aa55uFDcU3TimruePAIFpA==/109951165956355719.jpg,陈奕迅初入江湖周杰伦身在江湖刘欢回首江湖那英再掀江湖
7anYong,http://p4.music.126.net/GCxhcC11Q1P0qKUNTXKZzg==/3283141723341322.jpg,居然评论这么少？89年的你们初中不听歌吗？
原创君,http://p4.music.126.net/imDGOWcpQvcO8fat7U9aUQ==/109951165806223960.jpg,01年@CoCo李玟 和周杰伦曾合作一首《刀马旦》。歌中，周董现场即兴做了一段RAP，本来歌中并没设计这段RAP，只是唱到一半，他忽然觉得需要在间奏有一段RAP，只见他拿着一张白纸独自躲到一旁，二十分钟后就大功告成，不得不佩服周董的才气.[强]
八十客车,http://p3.music.126.net/v21sUMb-EQSVzkBZz12EgA==/3295236357200348.jpg,这首歌放到今天都很潮流。
初鹿野城,http://p4.music.126.net/aa55uFDcU3TimruePAIFpA==/109951165956355719.jpg,杰伦，我没考上和你一样的大学李健，你没考上和我一样的大学
如-来,http://p3.music.126.net/5R_hinMNrGvmSdukxAbI2Q==/18811544441284079.jpg,21世纪头十年为什么韩国音乐根本在大陆成不了气候，就是因为有周杰伦。
初鹿野城,http://p4.music.126.net/aa55uFDcU3TimruePAIFpA==/109951165956355719.jpg,都唱的很不错，尤其是汪峰唱的安静，第一次听他唱真的柔情的，有些不习惯，但是很好听。杰伦的快歌自然不用说，一如既往的好听.
初鹿野城,http://p4.music.126.net/aa55uFDcU3TimruePAIFpA==/109951165956355719.jpg,生活的乌克丽丽，谱写属于自己的旋律.
小夏迷路,http://p3.music.126.net/4Ck2PpCYcP7vqqZ2hveO_g==/109951165812695751.jpg,愿亚洲天后Coco玟姐一路走好，愿通往天堂的路上一路欢声笑语，愿再另外一个世界没有抑郁症。
